,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
HTAN Parent Data File ID,HTAN Parent Data File ID,HTANParentDataFileID,HTAN Data File Identifier indicating the file(s) from which these files were derived,True,,,,BulkRNA-seqLevel3
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,BulkRNA-seqLevel3
Pseudo Alignment Used,Pseudo Alignment Used,PseudoAlignmentUsed,Pseudo aligners such as Kallisto or Salmon do not produce aligned reads BAM files. True indicates pseudoalignment was used.,True,,"['No', 'Yes - Pseudo Alignment Used']",,BulkRNA-seqLevel3
Fusion Gene Identity,Fusion Gene Identity,FusionGeneIdentity,The gene symbols of fused genes.,False,,,,BulkRNA-seqLevel3
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,BulkRNA-seqLevel3
Expression Units,Expression Units,ExpressionUnits,How quantities are corrected for gene length,True,,"['FPKM', 'TPM', 'RPKM', 'NA', 'Other', 'Counts']",,BulkRNA-seqLevel3
Fusion Gene Detected,Fusion Gene Detected,FusionGeneDetected,Was a fusion gene identified?,False,,"['No', 'Unknown', 'Yes - Fusion Gene Detected', '']",,BulkRNA-seqLevel3
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,BulkRNA-seqLevel3
Data Category,Data Category,DataCategory,Specific content type of the data file.,True,,"['Splice Junction Quantification', 'Gene Expression Quantification', 'Isoform Expression Quantification', 'Exon Expression Quantification', 'Gene Expression', 'Other', 'Transcript Expression']",,BulkRNA-seqLevel3
Filename,Filename,filename,Name of a file ,True,,,,BulkRNA-seqLevel3
Matrix Type,Matrix Type,MatrixType,Type of data stored in matrix.,True,,"['Batch Corrected Counts', 'Raw Counts', 'Scaled Counts', 'Normalized Counts']",,BulkRNA-seqLevel3
Workflow Link,Workflow Link,WorkflowLink,Link to workflow or command. DockStore.org recommended. URL,False,True,," If Pseudo Alignment Used is ""Yes - Pseudo Alignment Used"" then ""Workflow Link"" is required",BulkRNA-seqLevel3
Genomic Reference URL,Genomic Reference URL,GenomicReferenceURL,Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz) [URL],False,True,," If Pseudo Alignment Used is ""Yes - Pseudo Alignment Used"" then ""Genomic Reference URL"" is required",BulkRNA-seqLevel3
Software and Version,Software and Version,SoftwareandVersion,Name of software used to generate expression values. String,False,True,," If Pseudo Alignment Used is ""Yes - Pseudo Alignment Used"" then ""Software and Version"" is required",BulkRNA-seqLevel3
Genomic Reference,Genomic Reference,GenomicReference,Exact version of the human genome reference used in the alignment of reads (e.g. https://www.gencodegenes.org/human/),False,True,," If Pseudo Alignment Used is ""Yes - Pseudo Alignment Used"" then ""Genomic Reference"" is required",BulkRNA-seqLevel3
Specify Other Fusion Gene,Specify Other Fusion Gene,SpecifyOtherFusionGene,"Specify fusion gene detected, if not in list",False,True,," If Fusion Gene Identity is ""Other Fusion Gene"" then ""Specify Other Fusion Gene"" is required",BulkRNA-seqLevel3
Sequencing Batch ID,Sequencing Batch ID,SequencingBatchID,Links samples to a specific local sequencer run. Can be string or 'null',True,,,,BulkWESLevel1
Fragment Mean Length,Fragment Mean Length,FragmentMeanLength,"Mean length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Number",False,,,,BulkWESLevel1
Library Preparation Kit Vendor,Library Preparation Kit Vendor,LibraryPreparationKitVendor,Vendor of Library Preparation Kit. String,True,,,,BulkWESLevel1
To Trim Adapter Sequence,To Trim Adapter Sequence,ToTrimAdapterSequence,Does the user suggest adapter trimming?,False,,"['No', 'Yes - Trim Adapter Sequence', '']",,BulkWESLevel1
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,BulkWESLevel1
Adapter Name,Adapter Name,AdapterName,Name of the sequencing adapter. String,False,,,,BulkWESLevel1
Target Capture Kit,Target Capture Kit,TargetCaptureKit,"Description that can uniquely identify a target capture kit. Suggested value is a combination of vendor, kit name, and kit version.",True,,"['SeqCap EZ HGSC VCRome v2.1', 'Custom AmpliSeq Cancer Hotspot GENIE-MDA Augmented Panel v1 - 46 Genes', 'Custom GENIE-DFCI OncoPanel - 275 Genes', 'Custom SeqCap EZ TARGET-OS Panel - 7.0 Mb', 'Not Applicable', 'TruSeq RNA Exome', 'Custom Twist Broad PanCancer Panel - 396 Genes', 'xGen Exome Research Panel v1.0', 'Custom MSK IMPACT Panel - 341 Genes', 'Custom Large Construct Capture TARGET-OS Panel - 8 Genes', 'TruSight Myeloid Sequencing Panel', 'Custom Solid Tumor GENIE-VICC Panel - 34 Genes', 'SureSelect Human All Exon v3', 'SureSelect Human All Exon v5', 'Custom SureSelect CGCI-HTMCP-CC Panel - 19.7 Mb', 'Custom SureSelect CGCI-BLGSP Panel - 4.6 Mb', 'Unknown', 'Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v1', 'SeqCap EZ Human Exome v2.0', 'Foundation Medicine T7 Panel - 429 Genes', 'Custom GENIE-DFCI Oncopanel - 300 Genes', 'Custom MSK IMPACT Panel - 468 Genes', 'Custom Targets File Provided', 'TruSeq Exome Enrichment - 62 Mb', 'Nextera DNA Exome', 'Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 88 Genes', 'Custom Ion AmpliSeq Hotspot GENIE-MOSC3 Augmented Panel - 74 Genes', 'Custom SureSelect CGCI-HTMCP-CC KMT2D And Hotspot Panel - 37.0 Kb', 'Custom Twist Broad Exome v1.0 - 35.0 Mb', 'SureSelect Human All Exon v5 + UTR', 'Custom GENIE-DFCI Oncopanel - 447 Genes', 'Nextera Rapid Capture Exome v1.2', 'Custom HaloPlex DLBCL Panel - 370 Genes', 'Custom SureSelect Human All Exon v1.1 Plus 3 Boosters', 'Custom Myeloid GENIE-VICC Panel - 37 Genes', 'Custom SureSelect TARGET-AML_NBL_WT Panel - 2.8 Mb', 'TruSeq Amplicon Cancer Panel', 'Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v2', 'Custom SureSelect GENIE-UHN Panel - 555 Genes', 'Custom MSK IMPACT Panel - 410 Genes', 'Foundation Medicine T5a Panel - 322 Genes', 'Ion AmpliSeq Cancer Hotspot Panel v2', 'SureSelect Human All Exon v4', 'SeqCap EZ Human Exome v3.0', 'Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 203 Genes', 'Ion AmpliSeq Comprehensive Cancer Panel', 'Custom Personalis ACEcp VAREPOP-APOLLO Panel v2']",,BulkWESLevel1
Fragment Minimum Length,Fragment Minimum Length,FragmentMinimumLength,"Minimum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer",False,,,,BulkWESLevel1
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,BulkWESLevel1
Library Selection Method,Library Selection Method,LibrarySelectionMethod,How RNA molecules are isolated.,True,,"['rRNA Depletion', 'miRNA Size Fractionation', 'Other', 'Random', 'Affinity Enrichment', 'PCR', 'Poly-T Enrichment', 'Hybrid Selection']",,BulkWESLevel1
Base Caller Name,Base Caller Name,BaseCallerName,Name of the base caller. String,False,,,,BulkWESLevel1
Read Indicator,Read Indicator,ReadIndicator,Indicate if this is Read 1 (R1) or Read 2 (R2),True,,"['R1', 'R1&R2', 'R2']",,BulkWESLevel1
Library Preparation Kit Version,Library Preparation Kit Version,LibraryPreparationKitVersion,Version of Library Preparation Kit. String,True,,,,BulkWESLevel1
Base Caller Version,Base Caller Version,BaseCallerVersion,Version of the base caller. String,False,,,,BulkWESLevel1
Library Preparation Days from Index,Library Preparation Days from Index,LibraryPreparationDaysfromIndex,Number of days between sample for assay was received in lab and the libraries were prepared for sequencing [number],False,,,,BulkWESLevel1
HTAN Parent Biospecimen ID,HTAN Parent Biospecimen ID,HTANParentBiospecimenID,HTAN Biospecimen Identifier (eg HTANx_yyy_zzz) indicating the biospecimen(s) from which these files were derived; multiple parent biospecimen should be comma-separated,True,,,,BulkWESLevel1
Read Length,Read Length,ReadLength,"The length of the sequencing reads. Can be integer, null",True,,,,BulkWESLevel1
Library Layout,Library Layout,LibraryLayout,Sequencing read type,True,,"['Paired End', 'Single Read']",,BulkWESLevel1
Lane Number,Lane Number,LaneNumber,"The basic machine unit for sequencing. For Illumina machines, this reflects the physical lane number. Wrong or missing information may affect analysis results. Integer",False,,,,BulkWESLevel1
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,BulkWESLevel1
Fragment Standard Deviation Length,Fragment Standard Deviation Length,FragmentStandardDeviationLength,"Standard deviation of the sequenced fragments length (e.g., as predicted by Agilent Bioanalyzer). Number",False,,,,BulkWESLevel1
Multiplex Barcode,Multiplex Barcode,MultiplexBarcode,The barcode/index sequence used. Wrong or missing information may affect analysis results. String,False,,,,BulkWESLevel1
Adapter Sequence,Adapter Sequence,AdapterSequence,Base sequence of the sequencing adapter. String,False,,,,BulkWESLevel1
Library Preparation Kit Name,Library Preparation Kit Name,LibraryPreparationKitName,Name of Library Preparation Kit. String,True,,,,BulkWESLevel1
Sequencing Platform,Sequencing Platform,SequencingPlatform,A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.,True,,"['Illumina Genome Analyzer II', 'Illumina Genome Analyzer IIx', 'Illumina Next Seq 2500', 'Illumina NextSeq', 'PacBio RS', 'Illumina HiSeq X Five', 'AB SOLiD 3', 'Illumina HiSeq 2000', 'Illumina HiSeq 4000', 'Unknown', 'Complete Genomics', 'Ion Torrent S5', 'Not Reported', 'Illumina HiSeq X Ten', '454 GS FLX Titanium', 'Ion Torrent Proton', 'Illumina Next Seq 500', 'NovaSeqS4', 'Illumina MiSeq', 'AB SOLiD 4 AB SOLiD 2', 'Illumina NovaSeq 6000', 'NovaSeq 6000', 'Illumina HiSeq 2500', 'Other', 'Illumina Next Seq 550', 'Ion Torrent PGM']",,BulkWESLevel1
Flow Cell Barcode,Flow Cell Barcode,FlowCellBarcode,Flow cell barcode. Wrong or missing information may affect analysis results. String,False,,,,BulkWESLevel1
Target Depth,Target Depth,TargetDepth,The targeted read depth prior to sequencing. Integer,False,,,,BulkWESLevel1
Fragment Maximum Length,Fragment Maximum Length,FragmentMaximumLength,"Maximum length of the sequenced fragments (e.g., as predicted by Agilent Bioanalyzer). Integer",False,,,,BulkWESLevel1
Size Selection Range,Size Selection Range,SizeSelectionRange,Range of size selection. String,False,,,,BulkWESLevel1
Filename,Filename,filename,Name of a file ,True,,,,BulkWESLevel1
Per Base N Content,Per Base N Content,PerBaseNContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkWESLevel2
Per Sequence GC Content,Per Sequence GC Content,PerSequenceGCContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkWESLevel2
Total Unmapped reads,Total Unmapped reads,TotalUnmappedreads,Number of reads that did not map to genome. Integer,False,,,,BulkWESLevel2
Genomic Reference URL,Genomic Reference URL,GenomicReferenceURL,Link to human genome sequence (e.g. ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_34/GRCh38.primary_assembly.genome.fa.gz) [URL],True,,,,BulkWESLevel2
Adapter Content,Adapter Content,AdapterContent,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkWESLevel2
Average Read Length,Average Read Length,AverageReadLength,Average read length collected from samtools. Integer,False,,,,BulkWESLevel2
File Format,File Format,fileFormat,"Format of a file (e.g. txt, csv, fastq, bam, etc.)",True,,"['bedgraph', 'tiff', 'sif', 'msf', 'xml', 'Sentrix descriptor file', 'doc', 'seg', 'tif', '7z', 'maf', 'bcf', 'wiggle', 'vcf', 'mtx', 'bpm', 'dat', 'hdf5', 'chp', 'bgzip', 'locs', 'czi', 'tar', 'OME-TIFF', 'abf', 'fastq', 'bed narrowPeak', 'tagAlign', 'recal', 'scn', 'md', 'sav', 'hic', 'Python script', 'powerpoint', 'jpg', 'zip', 'tsv', 'svg', 'cloupe', 'json', 'pzfx', 'hyperlink', 'bed gappedPeak', 'gtf', 'sra', 'gct', 'ab1', 'html', 'gff3', 'sdf', 'excel', 'RData', 'mpg', 'fasta', 'mex', 'flagstat', 'sqlite', 'fig', 'dup', 'png', 'R script', 'plink', 'tranches', 'raw', 'cel', 'avi', 'csv', 'bed', 'idx', 'gzip', 'mov', 'mzML', 'idat', 'm', 'am', 'bai', 'svs', 'txt', 'DICOM', 'bam', 'rmd', 'sam', 'bed broadPeak', 'cell am', 'bigwig', 'pdf']",,BulkWESLevel2
Contamination,Contamination,Contamination,Fraction of reads coming from cross-sample contamination collected from GATK4. Number,False,,,,BulkWESLevel2
Encoding,Encoding,Encoding,Version of ASCII encoding of quality values found in the file. String,False,,,,BulkWESLevel2
QC Workflow Version,QC Workflow Version,QCWorkflowVersion,Major version for a workflow. String,False,,,,BulkWESLevel2
HTAN Parent Data File ID,HTAN Parent Data File ID,HTANParentDataFileID,HTAN Data File Identifier indicating the file(s) from which these files were derived,True,,,,BulkWESLevel2
Proportion Base Mismatch,Proportion Base Mismatch,ProportionBaseMismatch,Proportion of mismatched bases collected from samtools. Number,False,,,,BulkWESLevel2
Basic Statistics,Basic Statistics,BasicStatistics,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkWESLevel2
Average Base Quality,Average Base Quality,AverageBaseQuality,Average base quality collected from samtools. Number,False,,,,BulkWESLevel2
Proportion Targets No Coverage,Proportion Targets No Coverage,ProportionTargetsNoCoverage,Proportion of targets that did not reach 1X coverage over any base from Picard Tools. Number,False,,,,BulkWESLevel2
Sequence Length Distribution,Sequence Length Distribution,SequenceLengthDistribution,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkWESLevel2
QC Workflow Link,QC Workflow Link,QCWorkflowLink,Link to workflow used. String,False,,,,BulkWESLevel2
Short Reads,Short Reads,ShortReads,Number of reads that were too short. Integer,False,,,,BulkWESLevel2
Proportion Reads Mapped,Proportion Reads Mapped,ProportionReadsMapped,Proportion of mapped reads collected from samtools. Number,False,,,,BulkWESLevel2
HTAN Data File ID,HTAN Data File ID,HTANDataFileID,Self-identifier for this data file - HTAN ID of this file HTAN ID SOP (eg HTANx_yyy_zzz),True,,,,BulkWESLevel2
Index File Name,Index File Name,IndexFileName,The name (or part of a name) of a file (of any type). String,True,,,,BulkWESLevel2
Mean Coverage,Mean Coverage,MeanCoverage,"Mean coverage for whole genome sequencing, or mean target coverage for whole exome and targeted sequencing, collected from Picard. Number",False,,,,BulkWESLevel2
QC Workflow Type,QC Workflow Type,QCWorkflowType,Generic name for the workflow used to analyze a data set. String,False,,,,BulkWESLevel2
Total Reads,Total Reads,TotalReads,Total number of reads per sample. Integer,False,,,,BulkWESLevel2
Per Base Sequence Quality,Per Base Sequence Quality,PerBaseSequenceQuality,State classification given by FASTQC for the metric. Metric specific details about the states are available on their website.,False,,"['WARN', 'Not Reported', 'FAIL', 'PASS', 'Unknown', '']",,BulkWESLevel2
